Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2019",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",,,,,,,,,,
,City of Albuquerque4,"561,920","7,596 ",84 ,486 ,"1,699 ","5,327 ",,,"20,634 ","5,425 "
,Total area actually reporting,87.2%,"9,004 ",91 ,564 ,"1,768 ","6,581 ",,,"23,626 ","6,025 "
,Estimated total,100.0%,"9,580 ",93 ,588 ,"1,781 ","7,118 ",,,"24,180 ","6,188 "
,"Rate per 100,000 inhabitants",,"1,043.4",10.1,64.0,194.0,775.3,,,"2,633.7",674.0
"Alexandria, LA M.S.A.",,"152,025", ,,,,, ,,,
,Includes Grant and Rapides Parishes,,,,,,,,,,
,City of Alexandria,"46,630",732 ,9 ,16 ,132 ,575 ,"4,180 ",892 ,"3,056 ",232 
,Total area actually reporting,82.5%,"1,172 ",14 ,67 ,159 ,932 ,"6,428 ","1,584 ","4,460 ",384 
,Estimated total,100.0%,"1,291 ",16 ,71 ,165 ,"1,039 ","6,900 ","1,682 ","4,805 ",413 
,"Rate per 100,000 inhabitants",,849.2,10.5,46.7,108.5,683.4,"4,538.7","1,106.4","3,160.7",271.7
"Altoona, PA M.S.A.",,"121,762", ,,,,, ,,,
,Includes Blair County,,,,,,,,,,
,City of Altoona,"43,429",264 ,0 ,83 ,22 ,159 ,675 ,142 ,481 ,52 
,Total area actually reporting,100.0%,406 ,1 ,111 ,33 ,261 ,"1,510 ",271 ,"1,163 ",76 
,"Rate per 100,000 inhabitants",,333.4,0.8,91.2,27.1,214.4,"1,240.1",222.6,955.1,62.4
"Amarillo, TX M.S.A.",,"266,054", ,,,,, ,,,
,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties",,,,,,,,,,
,City of Amarillo,"201,036","1,447 ",15 ,161 ,246 ,"1,025 ","7,835 ","1,439 ","5,425 ",971 
,Total area actually reporting,99.9%,"1,584 ",16 ,194 ,257 ,"1,117 ","8,578 ","1,650 ","5,862 ","1,066 "
,Estimated total,100.0%,"1,584 ",16 ,194 ,257 ,"1,117 ","8,579 ","1,650 ","5,863 ","1,066 "
,"Rate per 100,000 inhabitants",,595.4,6.0,72.9,96.6,419.8,"3,224.5",620.2,"2,203.7",400.7
"Ames, IA M.S.A.",,"124,947", ,,,,, ,,,
,Includes Boone and Story Counties,,,,,,,,,,
,City of Ames,"68,237",135 ,1 ,44 ,21 ,69 ,"1,171 ",138 ,975 ,58 
,Total area actually reporting,100.0%,249 ,2 ,64 ,22 ,161 ,"1,745 ",256 ,"1,381 ",108 
,"Rate per 100,000 inhabitants",,199.3,1.6,51.2,17.6,128.9,"1,396.6",204.9,"1,105.3",86.4
"Anchorage, AK M.S.A.",,"306,136", ,,,,, ,,,
,Includes Anchorage Municipality and Matanuska-Susitna Borough,,,,,,,,,,
,City of Anchorage,"287,731","3,581 ",32 ,540 ,621 ,"2,388 ","12,261 ","1,692 ","9,038 ","1,531 "
,Total area actually reporting,100.0%,"3,657 ",34 ,546 ,638 ,"2,439 ","13,222 ","1,837 ","9,766 ","1,619 "
,"Rate per 100,000 inhabitants",,"1,194.6",11.1,178.4,208.4,796.7,"4,319.0",600.1,"3,190.1",528.8
"Ann Arbor, MI M.S.A.",,"373,308", ,,,,, ,,,
,Includes Washtenaw County,,,,,,,,,,
,City of Ann Arbor,"122,893",309 ,2 ,77 ,46 ,184 ,"2,124 ",197 ,"1,789 ",138 
,Total area actually reporting,100.0%,"1,327 ",8 ,250 ,143 ,926 ,"6,159 ",743 ,"4,940 ",476 
,"Rate per 100,000 inhabitants",,355.5,2.1,67.0,38.3,248.1,"1,649.8",199.0,"1,323.3",127.5
"Appleton, WI M.S.A.3",,"238,721", ,,,,, ,,,
,Includes Calumet and Outagamie Counties,,,,,,,,,,
,City of Appleton,"74,757",206 ,2 ,32 ,23 ,149 ,"1,073 ",107 ,910 ,56 
,Total area actually reporting,97.4%,384 ,4 ,80 ,26 ,274 ,"2,497 ",259 ,"2,104 ",134 
,Estimated total,100.0%,392 ,4 ,82 ,27 ,279 ,"2,599 ",266 ,"2,195 ",138 
,"Rate per 100,000 inhabitants",,164.2,1.7,34.3,11.3,116.9,"1,088.7",111.4,919.5,57.8
"Asheville, NC M.S.A.3",,"463,796", ,,,,, ,,,
,"Includes Buncombe, Haywood, Henderson, and Madison Counties3",,,,,,,,,,
,City of Asheville3,"93,641",695 ,6 ,59 ,163 ,467 ,"5,923 ",833 ,"4,552 ",538 
,Total area actually reporting,76.8%,"1,221 ",12 ,116 ,215 ,878 ,"11,093 ","2,373 ","7,709 ","1,011 "
,Estimated total,100.0%,"1,466 ",15 ,144 ,241 ,"1,066 ","12,815 ","2,898 ","8,760 ","1,157 "
,"Rate per 100,000 inhabitants",,316.1,3.2,31.0,52.0,229.8,"2,763.1",624.8,"1,888.8",249.5
"Atlantic City-Hammonton, NJ M.S.A.",,"263,100", ,,,,, ,,,
,Includes Atlantic County,,,,,,,,,,
,City of Atlantic City,"37,593",323 ,11 ,29 ,182 ,101 ,"1,738 ",130 ,"1,519 ",89 
,City of Hammonton,"14,003",25 ,0 ,1 ,4 ,20 ,115 ,25 ,78 ,12 
,Total area actually reporting,100.0%,672 ,13 ,49 ,272 ,338 ,"6,314 ",857 ,"5,174 ",283 
,"Rate per 100,000 inhabitants",,255.4,4.9,18.6,103.4,128.5,"2,399.8",325.7,"1,966.6",107.6
"Augusta-Richmond County, GA-SC M.S.A.3",,"609,036", ,,,,, ,,,
,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA3 and Aiken and Edgefield Counties, SC",,,,,,,,,,
,Total area actually reporting,96.5%,"2,085 ",47 ,177 ,404 ,"1,457 ","14,629 ","2,456 ","10,994 ","1,179 "
,Estimated total,100.0%,"2,199 ",49 ,186 ,411 ,"1,553 ","15,097 ","2,580 ","11,292 ","1,225 "
,"Rate per 100,000 inhabitants",,361.1,8.0,30.5,67.5,255.0,"2,478.8",423.6,"1,854.1",201.1
"Austin-Round Rock-Georgetown, TX M.S.A.3",,"2,217,312",,,,,,,,,
,"Includes Bastrop, Caldwell,3 Hays, Travis,3 and Williamson Counties",, ,,,,,,,,
,City of Austin3,"986,062","3,953 ",32 ,534 ,971 ,"2,416 ","36,588 ","4,344 ","29,216 ","3,028 "
,City of Round Rock,"132,747",165 ,3 ,21 ,51 ,90 ,"2,235 ",165 ,"2,017 ",53 
,City of Georgetown,"78,332",81 ,0 ,25 ,8 ,48 ,730 ,103 ,586 ,41 
,City of San Marcos,"66,279",241 ,8 ,78 ,26 ,129 ,"1,530 ",228 ,"1,176 ",126 
,Total area actually reporting,99.9%,"6,359 ",56 ,"1,071 ","1,261 ","3,971 ","53,424 ","6,954 ","42,248 ","4,222 "
,Estimated total,100.0%,"6,361 ",56 ,"1,071 ","1,261 ","3,973 ","53,442 ","6,958 ","42,260 ","4,224 "
,"Rate per 100,000 inhabitants",,286.9,2.5,48.3,56.9,179.2,"2,410.2",313.8,"1,905.9",190.5
"Bakersfield, CA M.S.A.",,"896,356", ,,,,, ,,,
,Includes Kern County,,,,,,,,,,
,City of Bakersfield,"388,080","1,766 ",34 ,116 ,701 ,915 ,"16,074 ","3,888 ","9,277 ","2,909 "
,Total area actually reporting,100.0%,"5,567 ",84 ,455 ,"1,238 ","3,790 ","29,604 ","7,595 ","16,126 ","5,883 "
,"Rate per 100,000 inhabitants",,621.1,9.4,50.8,138.1,422.8,"3,302.7",847.3,"1,799.1",656.3
"Baltimore-Columbia-Towson, MD M.S.A.",,"2,800,231",,,,,,,,,
,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
,City of Baltimore,"597,239","11,101 ",348 ,324 ,"4,856 ","5,573 ","25,748 ","5,414 ","16,395 ","3,939 "
,Total area actually reporting,100.0%,"19,564 ",434 ,"1,025 ","6,797 ","11,308 ","66,044 ","10,213 ","49,114 ","6,717 "
,"Rate per 100,000 inhabitants",,698.7,15.5,36.6,242.7,403.8,"2,358.5",364.7,"1,753.9",239.9
"Bangor, ME M.S.A.",,"151,245", ,,,,, ,,,
,Includes Penobscot County,,,,,,,,,,
,City of Bangor,"31,872",35 ,1 ,1 ,15 ,18 ,"1,168 ",64 ,"1,076 ",28 
,Total area actually reporting,100.0%,67 ,1 ,7 ,20 ,39 ,"2,355 ",221 ,"2,060 ",74 
,"Rate per 100,000 inhabitants",,44.3,0.7,4.6,13.2,25.8,"1,557.1",146.1,"1,362.0",48.9
"Barnstable Town, MA M.S.A.",,"211,470", ,,,,, ,,,
,Includes Barnstable County,,,,,,,,,,
,City of Barnstable ,"44,032",178 ,2 ,22 ,14 ,140 ,425 ,61 ,350 ,14 
,Total area actually reporting,100.0%,691 ,2 ,113 ,29 ,547 ,"2,017 ",401 ,"1,542 ",74 
,"Rate per 100,000 inhabitants",,326.8,0.9,53.4,13.7,258.7,953.8,189.6,729.2,35.0
"Baton Rouge, LA M.S.A.",,"852,152", ,,,,, ,,,
,"Includes Ascension, Assumption, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
,City of Baton Rouge,"220,648","2,066 ",70 ,52 ,645 ,"1,299 ","11,673 ","2,258 ","8,616 ",799 
,Total area actually reporting,98.8%,"4,679 ",120 ,240 ,912 ,"3,407 ","27,976 ","4,599 ","21,713 ","1,664 "
,Estimated total,100.0%,"4,721 ",120 ,241 ,915 ,"3,445 ","28,266 ","4,661 ","21,926 ","1,679 "
,"Rate per 100,000 inhabitants",,554.0,14.1,28.3,107.4,404.3,"3,317.0",547.0,"2,573.0",197.0
"Battle Creek, MI M.S.A.4",,"133,965", ,,,,, ,,,
,Includes Calhoun County,,,,,,,,,,
,City of Battle Creek,"60,607",568 ,5 ,60 ,67 ,436 ,"1,969 ",460 ,"1,377 ",132 
,Total area actually reporting,99.9%,836 ,6 ,108 ,91 ,631 ,,,"2,733 ",227 
,Estimated total,100.0%,836 ,6 ,108 ,91 ,631 ,,,"2,733 ",227 
,"Rate per 100,000 inhabitants",,624.0,4.5,80.6,67.9,471.0,,,"2,040.1",169.4
"Bay City, MI M.S.A.",,"103,201", ,,,,, ,,,
,Includes Bay County,,,,,,,,,,
,City of Bay City,"32,793",271 ,2 ,35 ,20 ,214 ,654 ,135 ,476 ,43 
,Total area actually reporting,100.0%,396 ,3 ,78 ,29 ,286 ,"1,295 ",266 ,944 ,85 
,"Rate per 100,000 inhabitants",,383.7,2.9,75.6,28.1,277.1,"1,254.8",257.7,914.7,82.4
"Beaumont-Port Arthur, TX M.S.A.3",,"394,118",,,,,,,,,
,"Includes Hardin, Jefferson, and Orange Counties",, ,,,,,,,,
,City of Beaumont,"118,562","1,241 ",19 ,97 ,323 ,802 ,"4,287 ",950 ,"2,999 ",338 
,City of Port Arthur3,"55,084",344 ,9 ,29 ,84 ,222 ,"1,203 ",326 ,757 ,120 
,Total area actually reporting,99.9%,"2,132 ",34 ,186 ,465 ,"1,447 ","8,637 ","2,006 ","5,794 ",837 
,Estimated total,100.0%,"2,133 ",34 ,186 ,465 ,"1,448 ","8,644 ","2,007 ","5,799 ",838 
,"Rate per 100,000 inhabitants",,541.2,8.6,47.2,118.0,367.4,"2,193.3",509.2,"1,471.4",212.6
"Bellingham, WA M.S.A",,"228,098", ,,,,, ,,,
,Includes Whatcom County,,,,,,,,,,
,City of Bellingham,"91,906",251 ,4 ,28 ,61 ,158 ,"2,689 ",323 ,"2,251 ",115 
,Total area actually reporting,100.0%,502 ,9 ,100 ,78 ,315 ,"4,792 ",821 ,"3,744 ",227 
,"Rate per 100,000 inhabitants",,220.1,3.9,43.8,34.2,138.1,"2,100.9",359.9,"1,641.4",99.5
"Bend, OR M.S.A.",,"195,856", ,,,,, ,,,
,Includes Deschutes County,,,,,,,,,,
,City of Bend,"100,588",154 ,0 ,30 ,21 ,103 ,"1,919 ",135 ,"1,678 ",106 
,Total area actually reporting,100.0%,324 ,1 ,57 ,31 ,235 ,"3,763 ",341 ,"3,169 ",253 
,"Rate per 100,000 inhabitants",,165.4,0.5,29.1,15.8,120.0,"1,921.3",174.1,"1,618.0",129.2
"Billings, MT M.S.A.4",,"181,514", ,,,,, ,,,
,"Includes Carbon, Stillwater, and Yellowstone Counties",,,,,,,,,,
,City of Billings4,"110,198",,,75 ,98 ,499 ,"4,499 ",608 ,"3,266 ",625 
,Total area actually reporting,100.0%,,,103 ,106 ,679 ,"5,468 ",721 ,"4,008 ",739 
,"Rate per 100,000 inhabitants",,,,56.7,58.4,374.1,"3,012.4",397.2,"2,208.1",407.1
"Binghamton, NY M.S.A.",,"237,535", ,,,,, ,,,
,Includes Broome and Tioga Counties,,,,,,,,,,
,City of Binghamton,"44,475",355 ,2 ,42 ,66 ,245 ,"1,907 ",417 ,"1,429 ",61 
,Total area actually reporting,99.4%,678 ,6 ,171 ,108 ,393 ,"4,762 ",801 ,"3,809 ",152 
,Estimated total,100.0%,678 ,6 ,171 ,108 ,393 ,"4,773 ",802 ,"3,819 ",152 
,"Rate per 100,000 inhabitants",,285.4,2.5,72.0,45.5,165.4,"2,009.4",337.6,"1,607.8",64.0
"Bismarck, ND M.S.A.",,"128,869", ,,,,, ,,,
,"Includes Burleigh, Morton, and Oliver Counties",,,,,,,,,,
,City of Bismarck,"74,705",228 ,1 ,64 ,36 ,127 ,"2,079 ",225 ,"1,647 ",207 
,Total area actually reporting,100.0%,394 ,5 ,104 ,44 ,241 ,"2,983 ",340 ,"2,295 ",348 
,"Rate per 100,000 inhabitants",,305.7,3.9,80.7,34.1,187.0,"2,314.8",263.8,"1,780.9",270.0
"Blacksburg-Christiansburg, VA M.S.A.",,"167,936",,,,,,,,,
,"Includes Giles, Montgomery, and Pulaski Counties and Radford City",,,,,,,,,,
,City of Blacksburg,"44,948",50 ,0 ,26 ,1 ,23 ,275 ,38 ,228 ,9 
,City of Christiansburg,"22,700",31 ,0 ,7 ,4 ,20 ,466 ,28 ,424 ,14 
,Total area actually reporting,100.0%,323 ,2 ,106 ,20 ,195 ,"2,781 ",332 ,"2,311 ",138 
,"Rate per 100,000 inhabitants",,192.3,1.2,63.1,11.9,116.1,"1,656.0",197.7,"1,376.1",82.2
"Bloomington, IL M.S.A.",,"172,429",,,,,,,,,
,Includes McLean County,, ,,,,,,,,
,City of Bloomington,"78,107",387 ,1 ,49 ,57 ,280 ,"1,096 ",171 ,851 ,74 
,Total area actually reporting,97.1%,601 ,3 ,115 ,82 ,401 ,"2,312 ",324 ,"1,851 ",137 
,Estimated total,100.0%,610 ,3 ,117 ,83 ,407 ,"2,385 ",334 ,"1,909 ",142 
,"Rate per 100,000 inhabitants",,353.8,1.7,67.9,48.1,236.0,"1,383.2",193.7,"1,107.1",82.4
"Boise City, ID M.S.A.",,"749,238",,,,,,,,,
,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",, ,,,,,,,,
,City of Boise ,"231,314",649 ,4 ,164 ,44 ,437 ,"3,653 ",470 ,"2,952 ",231 
,Total area actually reporting,99.6%,"1,874 ",10 ,436 ,83 ,"1,345 ","9,275 ","1,507 ","7,063 ",705 
,Estimated total,100.0%,"1,880 ",10 ,437 ,83 ,"1,350 ","9,310 ","1,513 ","7,089 ",708 
,"Rate per 100,000 inhabitants",,250.9,1.3,58.3,11.1,180.2,"1,242.6",201.9,946.2,94.5
"Boston-Cambridge-Newton, MA-NH M.S.A.3, 5",,"4,880,689",,,,,,,,,
,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH",,,,,,,,,,
,"City of Boston, MA3, 5","698,941","4,244 ",42 ,231 ,"1,039 ","2,932 ",,"1,703 ","10,590 ",
,"City of Cambridge, MA","119,908",334 ,1 ,26 ,67 ,240 ,"1,983 ",161 ,"1,724 ",98 
,"City of Newton, MA","88,658",49 ,0 ,4 ,10 ,35 ,510 ,75 ,424 ,11 
,"City of Framingham, MA","73,127",297 ,1 ,20 ,29 ,247 ,800 ,158 ,609 ,33 
,"City of Waltham, MA","62,737",102 ,0 ,13 ,7 ,82 ,512 ,70 ,420 ,22 
,Total area actually reporting,98.8%,"13,450 ",93 ,"1,253 ","2,328 ","9,776 ",,"6,767 ","43,000 ",
,Estimated total,100.0%,"13,556 ",93 ,"1,270 ","2,333 ","9,860 ",,"6,840 ","43,333 ",
,"Rate per 100,000 inhabitants",,277.7,1.9,26.0,47.8,202.0,,140.1,887.8,
"Boston, MA M.D.3, 5",,"2,032,861",,,,,,,,,
,"Includes Norfolk, Plymouth, and Suffolk Counties",,,,,,,,,,
,Total area actually reporting,98.7%,"8,008 ",61 ,625 ,"1,595 ","5,727 ",,"3,351 ","21,175 ",
,Estimated total,100.0%,"8,057 ",61 ,633 ,"1,598 ","5,765 ",,"3,384 ","21,322 ",
,"Rate per 100,000 inhabitants",,396.3,3.0,31.1,78.6,283.6,,166.5,"1,048.9",
"Cambridge-Newton-Framingham, MA M.D.3",,"2,406,489",,,,,,,,,
,Includes Essex and Middlesex Counties,,,,,,,,,,
,Total area actually reporting,98.6%,"5,008 ",27 ,485 ,680 ,"3,816 ","22,303 ","2,934 ","17,780 ","1,589 "
,Estimated total,100.0%,"5,065 ",27 ,494 ,682 ,"3,862 ","22,543 ","2,974 ","17,966 ","1,603 "
,"Rate per 100,000 inhabitants",,210.5,1.1,20.5,28.3,160.5,936.8,123.6,746.6,66.6
"Rockingham County-Strafford County, NH M.D.",,"441,339",,,,,,,,,
,Includes Rockingham and Strafford Counties,,,,,,,,,,
,Total area actually reporting,100.0%,434 ,5 ,143 ,53 ,233 ,"4,770 ",482 ,"4,045 ",243 
,"Rate per 100,000 inhabitants",,98.3,1.1,32.4,12.0,52.8,"1,080.8",109.2,916.5,55.1
"Boulder, CO M.S.A.",,"328,673", ,,,,, ,,,
,Includes Boulder County,,,,,,,,,,
,City of Boulder,"108,519",278 ,1 ,41 ,37 ,199 ,"3,284 ",405 ,"2,628 ",251 
,Total area actually reporting,100.0%,895 ,3 ,224 ,83 ,585 ,"8,038 ",999 ,"6,341 ",698 
,"Rate per 100,000 inhabitants",,272.3,0.9,68.2,25.3,178.0,"2,445.6",303.9,"1,929.3",212.4
"Bowling Green, KY M.S.A.",,"179,183", ,,,,, ,,,
,"Includes Allen, Butler, Edmonson, and Warren Counties",,,,,,,,,,
,City of Bowling Green,"69,627",203 ,4 ,63 ,55 ,81 ,"3,250 ",386 ,"2,610 ",254 
,Total area actually reporting,100.0%,275 ,6 ,85 ,62 ,122 ,"4,188 ",645 ,"3,184 ",359 
,"Rate per 100,000 inhabitants",,153.5,3.3,47.4,34.6,68.1,"2,337.3",360.0,"1,777.0",200.4
"Bremerton-Silverdale-Port Orchard, WA M.S.A.",,"271,215",,,,,,,,,
,Includes Kitsap County,, ,,,,,,,,
,City of Bremerton,"41,675",168 ,1 ,26 ,34 ,107 ,"1,358 ",234 ,984 ,140 
,City of Port Orchard,"14,684",66 ,0 ,7 ,14 ,45 ,492 ,74 ,376 ,42 
,Total area actually reporting,100.0%,709 ,4 ,157 ,81 ,467 ,"5,392 ",989 ,"3,944 ",459 
,"Rate per 100,000 inhabitants",,261.4,1.5,57.9,29.9,172.2,"1,988.1",364.7,"1,454.2",169.2
"Bridgeport-Stamford-Norwalk, CT M.S.A.",,"929,479",,,,,,,,,
,Includes Fairfield County,,,,,,,,,,
,City of Bridgeport,"144,908",843 ,17 ,71 ,392 ,363 ,"2,465 ",555 ,"1,292 ",618 
,City of Stamford,"130,678",264 ,5 ,27 ,87 ,145 ,"1,803 ",196 ,"1,446 ",161 
,City of Norwalk,"89,440",183 ,1 ,8 ,29 ,145 ,"1,247 ",133 ,989 ,125 
,City of Danbury,"85,167",97 ,1 ,15 ,28 ,53 ,"1,045 ",132 ,827 ,86 
,City of Stratford,"52,034",71 ,1 ,13 ,25 ,32 ,859 ,97 ,654 ,108 
,Total area actually reporting,100.0%,"1,619 ",28 ,162 ,609 ,820 ,"11,232 ","1,542 ","8,325 ","1,365 "
,"Rate per 100,000 inhabitants",,174.2,3.0,17.4,65.5,88.2,"1,208.4",165.9,895.7,146.9
"Brownsville-Harlingen, TX M.S.A.3",,"423,309",,,,,,,,,
,Includes Cameron County,, ,,,,,,,,
,City of Brownsville,"184,418",776 ,0 ,82 ,143 ,551 ,"4,553 ",631 ,"3,801 ",121 
,City of Harlingen,"65,481",273 ,0 ,54 ,54 ,165 ,"3,152 ",443 ,"2,613 ",96 
,Total area actually reporting,100.0%,"1,588 ",4 ,233 ,236 ,"1,115 ","10,705 ","1,670 ","8,682 ",353 
,"Rate per 100,000 inhabitants",,375.1,0.9,55.0,55.8,263.4,"2,528.9",394.5,"2,051.0",83.4
"Buffalo-Cheektowaga, NY M.S.A.",,"1,123,277",,,,,,,,,
,Includes Erie and Niagara Counties,,,,,,,,,,
,City of Buffalo,"255,686","2,533 ",47 ,121 ,802 ,"1,563 ","8,298 ","1,610 ","6,009 ",679 
,City of Cheektowaga Town,"76,821",187 ,2 ,15 ,57 ,113 ,"2,153 ",208 ,"1,856 ",89 
,Total area actually reporting,98.2%,"3,962 ",60 ,329 ,"1,130 ","2,443 ","20,762 ","3,051 ","16,504 ","1,207 "
,Estimated total,100.0%,"3,980 ",60 ,332 ,"1,133 ","2,455 ","20,987 ","3,073 ","16,699 ","1,215 "
,"Rate per 100,000 inhabitants",,354.3,5.3,29.6,100.9,218.6,"1,868.4",273.6,"1,486.6",108.2
"Burlington, NC M.S.A.3",,"168,317", ,,,,, ,,,
,Includes Alamance County3,,,,,,,,,,
,City of Burlington3,"54,108",460 ,10 ,42 ,66 ,342 ,"2,490 ",534 ,"1,815 ",141 
,Total area actually reporting,91.0%,631 ,13 ,60 ,88 ,470 ,"3,926 ",895 ,"2,804 ",227 
,Estimated total,100.0%,686 ,14 ,66 ,98 ,508 ,"4,443 ",993 ,"3,196 ",254 
,"Rate per 100,000 inhabitants",,407.6,8.3,39.2,58.2,301.8,"2,639.7",590.0,"1,898.8",150.9
"Burlington-South Burlington, VT M.S.A.",,"221,448",,,,,,,,,
,"Includes Chittenden, Franklin, and Grand Isle Counties",, ,,,,, ,,,
,City of Burlington,"42,958",174 ,2 ,41 ,13 ,118 ,"1,110 ",109 ,976 ,25 
,City of South Burlington,"19,687",22 ,0 ,6 ,4 ,12 ,687 ,32 ,647 ,8 
,Total area actually reporting,100.0%,444 ,5 ,114 ,32 ,293 ,"3,786 ",406 ,"3,284 ",96 
,"Rate per 100,000 inhabitants",,200.5,2.3,51.5,14.5,132.3,"1,709.7",183.3,"1,483.0",43.4
"California-Lexington Park, MD M.S.A.",,"112,993",,,,,,,,,
,Includes St. Mary's County,, ,,,,,,,,
,Total area actually reporting,100.0%,231 ,1 ,29 ,46 ,155 ,"1,880 ",333 ,"1,476 ",71 
,"Rate per 100,000 inhabitants",,204.4,0.9,25.7,40.7,137.2,"1,663.8",294.7,"1,306.3",62.8
"Canton-Massillon, OH M.S.A.",,"397,244",,,,,,,,,
,Includes Carroll and Stark Counties,, ,,,,,,,,
,City of Canton,"70,139",981 ,6 ,135 ,188 ,652 ,"3,712 ",962 ,"2,429 ",321 
,City of Massillon,"32,433",72 ,1 ,26 ,14 ,31 ,743 ,116 ,610 ,17 
,Total area actually reporting,96.9%,"1,328 ",9 ,239 ,236 ,844 ,"8,608 ","1,918 ","6,128 ",562 
,Estimated total,100.0%,"1,345 ",9 ,242 ,239 ,855 ,"8,832 ","1,946 ","6,313 ",573 
,"Rate per 100,000 inhabitants",,338.6,2.3,60.9,60.2,215.2,"2,223.3",489.9,"1,589.2",144.2
"Cape Coral-Fort Myers, FL M.S.A.",,"767,771",,,,,,,,,
,Includes Lee County,, ,,,,,,,,
,City of Cape Coral,"194,183",226 ,5 ,16 ,36 ,169 ,"2,176 ",274 ,"1,739 ",163 
,City of Fort Myers,"85,127",486 ,9 ,34 ,94 ,349 ,"1,952 ",245 ,"1,553 ",154 
,Total area actually reporting,100.0%,"1,979 ",23 ,246 ,386 ,"1,324 ","8,890 ","1,343 ","6,792 ",755 
